Year,CA,ODS,Indicador,Descripción,Value
2017,CANTABRIA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,1.343994828
2018,CANTABRIA,Reducción de las desigualdades,10.1.1.2,Tasas de crecimiento per cápita de los gastos de los hogares de la población total,2.55771842
2011,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,4.299975606
2012,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,0.542922549
2013,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-0.960872718
2014,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-0.993369457
2015,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-0.24751919
2016,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,-1.515869913
2017,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.290747274
2018,CANTABRIA,Reducción de las desigualdades,10.1.1.3,Tasas de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,1.36869024
2015,CANTABRIA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,-1.084665345
2016,CANTABRIA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,0.330422114
2017,CANTABRIA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,1.683090899
2018,CANTABRIA,Reducción de las desigualdades,10.1.1.4,Tasas de crecimiento per cápita de los ingresos de los hogares de la población total,2.687266972
2010,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44388,000"
2011,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"10,000"
2012,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44327,000"
2013,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44448,000"
2014,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44208,000"
2015,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"10,000"
2016,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44358,000"
2017,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44206,000"
2018,CANTABRIA,Reducción de las desigualdades,10.2.1.1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos,"44452,000"
2010,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44388,000"
2011,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44295,000"
2012,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44237,000"
2013,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44386,000"
2014,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44208,000"
2015,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44449,000"
2016,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44356,000"
2017,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"10,000"
2018,CANTABRIA,Reducción de las desigualdades,10.2.1.1_1,Proporción de personas que viven por debajo del 50% de la mediana de los ingresos. cogiendo mediana de cada comunidad autónoma,"44390,000"
2010,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,22.4762
2011,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,13.7302
2012,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,"2534359,000"
2013,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,18.0072
2014,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,"2725320,000"
2015,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,"538582,000"
2016,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,14.0947
2017,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,"2029686,000"
2018,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.1,,"2008318,000"
2010,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"-253226,000"
2011,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"22525,000"
2012,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"2809386,000"
2013,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"1133288,000"
2014,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"145946,000"
2015,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"-395370,000"
2016,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"-502296,000"
2017,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"2229228,000"
2018,CANTABRIA,Ciudades y comunidades sostenibles,11.1.1.2,,"1514906,000"
2010,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2010,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2011,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2011,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2012,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2012,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2013,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2013,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2014,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2014,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2015,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2015,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2016,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.34398482
2016,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.34398482
2017,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2017,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2018,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2018,CANTABRIA,Ciudades y comunidades sostenibles,11.5.1.1,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,"0,000"
2010,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2010,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2011,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2011,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2012,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2012,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2013,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2013,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2014,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2014,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2015,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2015,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2016,CANTABRIA,Acción por el clima,13.1.2.1,,0.34398482
2016,CANTABRIA,Acción por el clima,13.1.2.1,,0.34398482
2017,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2017,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2018,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2018,CANTABRIA,Acción por el clima,13.1.2.1,,"0,000"
2017,CANTABRIA,Acción por el clima,13.2.1.1,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita,10.663474068
2018,CANTABRIA,Acción por el clima,13.2.1.1,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes per capita,10.628929843
2017,CANTABRIA,Acción por el clima,13.2.1.2,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB,0.476439946
2018,CANTABRIA,Acción por el clima,13.2.1.2,Total de Emisiones de Gases Efecto Invernadero de las unidades residentes por PIB,0.461852407
2013,CANTABRIA,Paz. justicia e instituciones sólidas,16.1.4.1,Proporción de la población que se siente segura al caminar sola en su zona de residencia ,88.1
2011,CANTABRIA,Hambre cero,2.2.2.1,Proporción de menores de 2 a 17 años con obesidad. sobrepeso o peso insuficiente,30.08135632
2012,CANTABRIA,Hambre cero,2.2.2.1,Proporción de menores de 2 a 17 años con obesidad. sobrepeso o peso insuficiente,30.08135632
2017,CANTABRIA,Hambre cero,2.2.2.1,Proporción de menores de 2 a 17 años con obesidad. sobrepeso o peso insuficiente,40.317959241
2010,CANTABRIA,Hambre cero,2.4.1.1,,"15373,000"
2011,CANTABRIA,Hambre cero,2.4.1.1,,"22678,000"
2012,CANTABRIA,Hambre cero,2.4.1.1,,"11355,000"
2013,CANTABRIA,Hambre cero,2.4.1.1,,"24504,000"
2014,CANTABRIA,Hambre cero,2.4.1.1,,"44532,000"
2015,CANTABRIA,Hambre cero,2.4.1.1,,"16803,000"
2016,CANTABRIA,Hambre cero,2.4.1.1,,"44228,000"
2017,CANTABRIA,Hambre cero,2.4.1.1,,"44562,000"
2018,CANTABRIA,Hambre cero,2.4.1.1,,"46388,000"
2019,CANTABRIA,Hambre cero,2.4.1.1,,"44256,000"
2010,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,17.93721973
2011,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2012,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2013,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2014,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2015,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2016,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2017,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,24.28363283
2018,CANTABRIA,Salud y bienestar,3.1.1.1,Tasa de mortalidad materna,"0,000"
2010,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,4.484304933
2011,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2.806886228
2012,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.55450237
2013,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,4.139929621
2014,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2.628696605
2015,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,3.885714286
2016,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,1.885014138
2017,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2.671199611
2018,CANTABRIA,Salud y bienestar,3.2.1.1,Tasa de mortalidad de niños menores de 5 años,2.890932983
2010,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,1.97309417
2011,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,0.748502994
2012,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,1.382306477
2013,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.069964811
2014,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.190580504
2015,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,2.514285714
2016,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,1.413760603
2017,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,1.45701797
2018,CANTABRIA,Salud y bienestar,3.2.2.1,Tasa de mortalidad neonatal,1.576872536
2010,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,297.9971269
2011,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,291.4308511
2012,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,286.9309386
2013,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,268.291937
2014,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,277.8725437
2015,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,282.2385095
2016,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,272.7799649
2017,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,281.6188609
2018,CANTABRIA,Salud y bienestar,3.4.1.1,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,273.6920018
2010,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,30.69862263
2011,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,31.27303217
2012,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,31.29848092
2013,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,32.45329953
2014,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,32.06877729
2015,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,29.64618224
2016,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,27.17480105
2017,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,35.28842695
2018,CANTABRIA,Salud y bienestar,3.4.1.2,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,32.70533355
2010,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,7.632254246
2011,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,5.747476182
2012,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,8.797410854
2013,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,7.306240209
2014,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,9.211244541
2015,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,10.1105477
2016,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,6.879696468
2017,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,12.73826143
2018,CANTABRIA,Salud y bienestar,3.4.1.3,Tasa de mortalidad atribuida a la diabetes,17.72973345
2010,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,263.5671799
2011,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,267.9338161
2012,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,281.6863283
2013,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,280.0159038
2014,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,285.2074236
2015,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,290.2926747
2016,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,303.9105915
2017,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,281.1024449
2018,CANTABRIA,Salud y bienestar,3.4.1.4,Tasa de mortalidad atribuida al cáncer,286.6020019
2010,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,3.392112998
2011,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,6.254606433
2012,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,6.090515207
2013,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,5.437202016
2014,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,6.4819869
2015,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,6.51187818
2016,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,7.051688879
2017,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,4.647744037
2018,CANTABRIA,Salud y bienestar,3.4.2.1,Tasa de mortalidad por suicidio,4.819733365
2010,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,5.596986447
2011,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.380868342
2012,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.045257603
2013,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.058426134
2014,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.582150655
2015,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,4.112765166
2016,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,4.127817881
2017,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.959189365
2018,CANTABRIA,Salud y bienestar,3.6.1.1,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.959066693
2010,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,"0,000"
2011,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,0.086572591
2012,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,"0,000"
2013,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,"0,000"
2014,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,0.079421809
2015,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,0.077669903
2016,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,0.076423386
2017,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,"0,000"
2018,CANTABRIA,Salud y bienestar,3.7.2.1,Tasa de fecundidad de las adolescentes (entre 10 y 14 años) por cada 1.000 mujeres de ese grupo de edad,"0,000"
2010,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,6.852212165
2011,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,6.223528395
2012,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,5.35651563
2013,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,4.844787368
2014,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,4.664513814
2015,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,4.297491668
2016,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,4.28045544
2017,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,4.757929883
2018,CANTABRIA,Salud y bienestar,3.7.2.2,Tasa de fecundidad de las adolescentes (entre 15 y 19 años) por cada 1.000 mujeres de ese grupo de edad,2.663653241
2015,CANTABRIA,Salud y bienestar,3.8.1.1,,"2751374,000"
2016,CANTABRIA,Salud y bienestar,3.8.1.1,,"1965797,000"
2017,CANTABRIA,Salud y bienestar,3.8.1.1,,"0,000"
2018,CANTABRIA,Salud y bienestar,3.8.1.1,,0.2508
2010,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.6784226
2011,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.338086834
2012,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.507542934
2013,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.679650252
2014,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.852893013
2015,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.514095646
2016,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,1.547931705
2017,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.688554672
2018,CANTABRIA,Salud y bienestar,3.9.3.1,Tasa de mortalidad atribuida a intoxicaciones involuntarias,0.172133334
2011,CANTABRIA,Salud y bienestar,3.a.1.1,Porcentaje de fumadores diarios. Población de 15 y más años.,23.91890837
2012,CANTABRIA,Salud y bienestar,3.a.1.1,Porcentaje de fumadores diarios. Población de 15 y más años.,23.91890837
2014,CANTABRIA,Salud y bienestar,3.a.1.1,Porcentaje de fumadores diarios. Población de 15 y más años.,21.403513127
2017,CANTABRIA,Salud y bienestar,3.a.1.1,Porcentaje de fumadores diarios. Población de 15 y más años.,22.878757985
2010,CANTABRIA,Salud y bienestar,3.c.1.1,,54.07244184
2011,CANTABRIA,Salud y bienestar,3.c.1.1,,54.20443055
2012,CANTABRIA,Salud y bienestar,3.c.1.1,,54.962654884
2013,CANTABRIA,Salud y bienestar,3.c.1.1,,56.135801335
2014,CANTABRIA,Salud y bienestar,3.c.1.1,,57.349421466
2015,CANTABRIA,Salud y bienestar,3.c.1.1,,58.746377707
2016,CANTABRIA,Salud y bienestar,3.c.1.1,,60.312033515
2017,CANTABRIA,Salud y bienestar,3.c.1.1,,61.087848834
2018,CANTABRIA,Salud y bienestar,3.c.1.1,,63.18330379
2010,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,68.10250578
2011,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,67.776639258
2012,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,68.673659448
2013,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,70.259085696
2014,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,71.187083482
2015,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,73.596061143
2016,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,76.2370244
2017,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,78.548892643
2018,CANTABRIA,Salud y bienestar,3.c.1.2,Número de enfermeras por cada 10.000 habitantes,81.235676302
2010,CANTABRIA,Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,4.874135603
2011,CANTABRIA,Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,5.047376124
2012,CANTABRIA,Salud y bienestar,3.c.1.3,Número de dentistas por cada 10.000 habitantes,5.508129151
