Year;ODS;Indicador;Descripción;CA;Value
2015;Educación de calidad;4.3.1.4;Porcentaje de la población de 15 a 64 años que estudian formación académica o capacitación en las últimas cuatro semanas;BALEARS, ILLES;17,47
2016;Educación de calidad;4.3.1.4;Porcentaje de la población de 15 a 64 años que estudian formación académica o capacitación en las últimas cuatro semanas;BALEARS, ILLES;16,96
2017;Educación de calidad;4.3.1.4;Porcentaje de la población de 15 a 64 años que estudian formación académica o capacitación en las últimas cuatro semanas;BALEARS, ILLES;16,63
2018;Educación de calidad;4.3.1.4;Porcentaje de la población de 15 a 64 años que estudian formación académica o capacitación en las últimas cuatro semanas;BALEARS, ILLES;17,98
2011;Educación de calidad;4.5.1.1;Índices de paridad (entre mujeres y hombres) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;BALEARS, ILLES;98,19800061
2016;Educación de calidad;4.5.1.1;Índices de paridad (entre mujeres y hombres) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;BALEARS, ILLES;109,5505833
2016;Educación de calidad;4.5.1.2;Índices de paridad (personas con limitaciones graves por problemas de salud y personas nada limitadas) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses;BALEARS, ILLES;7,310786627
2016;Educación de calidad;4.5.1.2_4.5.1.6;Índices de paridad (personas con limitaciones por problemas de salud y personas nada limitadas) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;BALEARS, ILLES;78,67945261
2010;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;110,07
2011;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;110,73
2012;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;103,55
2013;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;104,2
2014;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;97,8
2015;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;118,81
2016;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;91,25
2017;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;92,02
2018;Educación de calidad;4.5.1.3;Índices de paridad (entre zonas rurales y urbanas) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;94,07
2016;Educación de calidad;4.5.1.4;Índices de paridad (entre cuartil de riqueza superior e inferior) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses;BALEARS, ILLES;60,77346839
2010;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;110,57
2011;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;109,33
2012;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;103,92
2013;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;109,83
2014;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;119,94
2015;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;116,17
2016;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;126,7
2017;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;120,07
2018;Educación de calidad;4.5.1.5;Índices de paridad (entre mujeres y hombres) de la población de 15 a 64 años que estudian formación académica o capacitación en las cuatro últimas semanas;BALEARS, ILLES;114,69
2016;Educación de calidad;4.5.1.6;Índices de paridad (personas con limitaciones por problemas de salud pero no graves y personas nada limitadas) de la población, entre 18 y 64 años de edad, que han realizado actividades educativas en los últimos 12 meses ;BALEARS, ILLES;90,9551432
2010;Igualdad de género;5.4.1.1;Tiempo dedicado al hogar y familia en un día promedio;BALEARS, ILLES;166,1110854
2010;Igualdad de género;5.4.1.2;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;221,3753111
2010;Igualdad de género;5.4.1.3;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;110,8323849
2011;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;35,05
2012;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;32,84
2013;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;30,18
2014;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;33,81
2015;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;34,34
2016;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;30,57
2017;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;29,28
2018;Igualdad de género;5.5.2.1;Tiempo dedicado al hogar y familia en un día promedio. Mujeres;BALEARS, ILLES;31,11
2011;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;23,25
2012;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;33,32
2013;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;26,55
2014;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;17,88
2015;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;22,56
2016;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;30,81
2017;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;23,67
2018;Igualdad de género;5.5.2.2;Tiempo dedicado al hogar y familia en un día promedio. Hombres;BALEARS, ILLES;29,62
2010;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;BALEARS, ILLES;39,40890624
2011;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;BALEARS, ILLES;47,48686428
2012;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;BALEARS, ILLES;48,92980556
2014;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;BALEARS, ILLES;47,48686428
2017;Igualdad de género;5.a.1a.1;Porcentaje de titulares de explotaciones agrícolas, respecto al total de trabajadores en la agricultura;BALEARS, ILLES;48,92980556
2010;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;BALEARS, ILLES;41,74716252
2014;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;BALEARS, ILLES;46,4
2017;Igualdad de género;5.a.1a.2;Porcentaje de hombres titulares de explotaciones agrícolas, respecto al total de hombres trabajadores en la agricultura;BALEARS, ILLES;46,7
2010;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;BALEARS, ILLES;34,8747366
2014;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;BALEARS, ILLES;49,71
2017;Igualdad de género;5.a.1a.3;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de mujeres trabajadoras en la agricultura;BALEARS, ILLES;53,91
2010;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;BALEARS, ILLES;30,10915707
2014;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;BALEARS, ILLES;34,29018789
2017;Igualdad de género;5.a.1b.1;Porcentaje de mujeres titulares de explotaciones agrícolas, respecto al total de titulares de explotaciones agrícolas;BALEARS, ILLES;34,12037525
2010;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;BALEARS, ILLES;32,62762964
2014;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;BALEARS, ILLES;35,9245283
2017;Igualdad de género;5.a.1b.2;Porcentaje de mujeres titulares de explotaciones agrícolas en propiedad, respecto al total de titulares de explotaciones agrícolas en propiedad;BALEARS, ILLES;36,45038168
2010;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;BALEARS, ILLES;28,06122449
2014;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;BALEARS, ILLES;25,58469171
2017;Igualdad de género;5.a.1b.3;Porcentaje de mujeres titulares de explotaciones agrícolas en arrendamiento, respecto al total de titulares de explotaciones agrícolas en arrendamiento;BALEARS, ILLES;23,71
2010;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;13,41
2011;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;12,87
2012;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;12,99
2013;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;13,04
2014;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;13,17
2015;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;13,45
2016;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;13,42
2017;Trabajo decente y crecimiento económico;8.5.1.2;Ingreso medio por hora de mujeres;BALEARS, ILLES;13,79
2010;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,78
2011;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,57
2012;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,88
2013;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,62
2014;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;15,33
2015;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,76
2016;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,84
2017;Trabajo decente y crecimiento económico;8.5.1.3;Ingreso medio por hora de hombres;BALEARS, ILLES;14,48
2010;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;20,79
2011;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;22,35
2012;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;22,41
2013;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;22,53
2014;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;21,37
2015;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;17,34
2016;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;13,43
2017;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;12,4
2018;Trabajo decente y crecimiento económico;8.5.2.2;Tasa de desempleo de hombres;BALEARS, ILLES;12,03
2010;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;19,3
2011;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;21,28
2012;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;24,06
2013;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;21,93
2014;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;18,38
2015;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;17,26
2016;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;14,43
2017;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;12,48
2018;Trabajo decente y crecimiento económico;8.5.2.3;Tasa de desempleo de mujeres;BALEARS, ILLES;10,92
2010;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;21,57
2011;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;19,84
2012;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;21,2
2013;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;19,31
2014;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;21,18
2015;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;16,94
2016;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;17,94
2017;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;15,92
2018;Trabajo decente y crecimiento económico;8.6.1.1;Proporción de jóvenes (entre 15 y 24 años) que no cursan estudios, no están empleados ni reciben capacitación;BALEARS, ILLES;14,1
2017;Trabajo decente y crecimiento económico;8.9.1.1;Tasa de crecimiento del PIB generado por el turismo;BALEARS, ILLES;11,79955057
2018;Trabajo decente y crecimiento económico;8.9.1.1;Tasa de crecimiento del PIB generado por el turismo;BALEARS, ILLES;0,412495473
2016;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;BALEARS, ILLES;48,61741443
2017;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;BALEARS, ILLES;51,60567237
2018;Trabajo decente y crecimiento económico;8.9.1.2;PIB generado por el turismo en proporción al PIB total;BALEARS, ILLES;50,03191169
2010;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;6,2
2011;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;5,72
2012;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;5,25
2013;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;4,48
2014;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;5,51
2015;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;5,85
2016;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;5,4
2017;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;6,1
2018;Industria, tinnovación e infraestructura;9.2.2.1;;BALEARS, ILLES;5,77
2010;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;24,04545
2011;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;27,0365567
2012;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;25,85867
2013;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;33,1571
2014;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;24,85
2015;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;32,69761954
2016;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;26,4874288
2017;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;29,8829
2018;Industria, tinnovación e infraestructura;9.3.1.1;Proporción correspondiente a las industrias a pequeña escala del valor añadido total del sector;BALEARS, ILLES;32,50503553
2010;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,360774679
2011;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,346164643
2012;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,327161183
2013;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,29980766
2014;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,280979287
2015;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,285572529
2016;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,280806496
2017;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,292718749
2018;Industria, tinnovación e infraestructura;9.4.1.1;Emisiones de CO2 de las unidades residentes por PIB;BALEARS, ILLES;0,290743403
2010;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,419656836
2011;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,3721739
2012;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,606187134
2013;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,644009424
2014;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,553978534
2015;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,534633316
2016;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,514484883
2017;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,496543852
2018;Industria, tinnovación e infraestructura;9.4.1.2;Emisiones de CO2 de las unidades residentes por unidad de valor añadido. Industria Manufacturera;BALEARS, ILLES;0,456314148
2010;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,42
2011;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,36
2012;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,35
2013;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,34
2014;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,32
2015;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,32
2016;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,32
2017;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,36
2018;Industria, tinnovación e infraestructura;9.5.1.1;Gastos en investigación y desarrollo en proporción al PIB;BALEARS, ILLES;0,4
2010;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1343,735043
2011;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1316,346771
2012;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1292,104782
2013;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1250,43156
2014;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1304,7209
2015;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1191,953025
2016;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1345,869528
2017;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1438,802323
2018;Industria, tinnovación e infraestructura;9.5.2.1;Número de investigadores (en equivalente a tiempo completo) por cada millón de habitantes;BALEARS, ILLES;1618,037947
2010;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,91133769
2011;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,91826727
2012;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,90526378
2013;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,87170441
2014;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,90044798
2015;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,91172762
2016;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,85499937
2017;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,90333806
2018;Salud y bienestar;3.1.2.1;Proporción de partos atendidos por personal sanitario especializado;CANARIAS;99,80733503
2010;Fin de la pobreza;1.2.1.1;;CANARIAS;29,7
2011;Fin de la pobreza;1.2.1.1;;CANARIAS;30,1
2012;Fin de la pobreza;1.2.1.1;;CANARIAS;33,6
2013;Fin de la pobreza;1.2.1.1;;CANARIAS;28,4
2014;Fin de la pobreza;1.2.1.1;;CANARIAS;27,6
2015;Fin de la pobreza;1.2.1.1;;CANARIAS;28,5
2016;Fin de la pobreza;1.2.1.1;;CANARIAS;35
2017;Fin de la pobreza;1.2.1.1;;CANARIAS;30,5
2018;Fin de la pobreza;1.2.1.1;;CANARIAS;32,1
2010;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;23,8
2011;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;20,6
2012;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;20,1
2013;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;21,1
2014;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;21,7
2015;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;24,4
2016;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;20,6
2017;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;22,9
2018;Fin de la pobreza;1.2.1.1_1;Población en riesgo de pobreza relativa (ingresos < 60% mediana). Mediana de cada comunidad autónoma;CANARIAS;23,7
2010;Fin de la pobreza;1.2.1.2;;CANARIAS;25,009
2011;Fin de la pobreza;1.2.1.2;;CANARIAS;27,7428
2012;Fin de la pobreza;1.2.1.2;;CANARIAS;31,6263
2013;Fin de la pobreza;1.2.1.2;;CANARIAS;23,4393
2014;Fin de la pobreza;1.2.1.2;;CANARIAS;25,1746
2015;Fin de la pobreza;1.2.1.2;;CANARIAS;25,4649
